"Brain age","N genes","Beta","Beta STD","SE","P-value","Bonferroni P-value","Bonferroni significant","FDR P-value","FDR significant"
"19 yrs","13738","0.0018023","0.045263","0.00074328","0.0076655","0.22229949999999998","No","0.16258850000000002","No"
"13 yrs","13738","0.0021801","0.048475","0.00095477","0.011213","0.32517700000000005","No","0.16258850000000002","No"
"1 yrs","13738","0.0017406","0.039259","0.00087592","0.023463","0.680427","No","0.17712475000000003","No"
"10 mos","13738","0.001495","0.042973","0.00075888","0.024431","0.708499","No","0.17712475000000003","No"
"30 yrs","13738","0.0011374","0.031968","0.00061617","0.032468","0.9415719999999999","No","0.18831439999999997","No"
"8 pcw","13738","-0.00024883","-0.0068922","0.00042172","0.72241","1.0","No","0.9294373913043478","No"
"36 yrs","13738","0.0016645","0.034603","0.00095492","0.040671","1.0","No","0.1965765","No"
"23 yrs","13738","0.00084265","0.018223","0.00097347","0.19336","1.0","No","0.5136427272727273","No"
"21 yrs","13738","0.00061485","0.014077","0.00083763","0.23147","1.0","No","0.5593858333333334","No"
"18 yrs","13738","7.8727e-06","0.00016409","0.00082204","0.49618","1.0","No","0.8464247058823531","No"
"15 yrs","13738","0.0011382","0.02593","0.000867","0.094644","1.0","No","0.304964","No"
"11 yrs","13738","0.0007048","0.018057","0.00081928","0.19483","1.0","No","0.5136427272727273","No"
"8 yrs","13738","0.00018204","0.0051931","0.00080734","0.4108","1.0","No","0.8464247058823531","No"
"4 yrs","13738","-0.00023934","-0.0077019","0.00052301","0.67638","1.0","No","0.9294373913043478","No"
"3 yrs","13738","0.00097403","0.023681","0.00069119","0.0794","1.0","No","0.287825","No"
"2 yrs","13738","0.00016876","0.0034608","0.00059541","0.38842","1.0","No","0.8464247058823531","No"
"4 mos","13738","0.00010738","0.0027376","0.0012205","0.46495","1.0","No","0.8464247058823531","No"
"37 pcw","13738","-0.0003752","-0.011062","0.00059126","0.73714","1.0","No","0.9294373913043478","No"
"26 pcw","13738","-0.00015597","-0.0031381","0.0010096","0.56139","1.0","No","0.8966189473684211","No"
"24 pcw","13738","-0.00027428","-0.0078571","0.00057821","0.68237","1.0","No","0.9294373913043478","No"
"21 pcw","13738","-0.000741","-0.018104","0.00067394","0.86421","1.0","No","0.9669325","No"
"19 pcw","13738","-0.00104","-0.030035","0.00048478","0.98403","1.0","No","0.98403","No"
"17 pcw","13738","-0.00087579","-0.021088","0.00066105","0.90737","1.0","No","0.9669325","No"
"16 pcw","13738","-0.00055511","-0.013887","0.00059446","0.82479","1.0","No","0.9669325","No"
"13 pcw","13738","-0.00069673","-0.019128","0.00048482","0.92464","1.0","No","0.9669325","No"
"12 pcw","13738","-0.00076675","-0.020176","0.00051009","0.93359","1.0","No","0.9669325","No"
"9 pcw","13738","3.8894e-05","0.00090866","0.00051435","0.46986","1.0","No","0.8464247058823531","No"
"37 yrs","13738","0.0013893","0.029428","0.00091798","0.065102","1.0","No","0.2697082857142857","No"
"40 yrs","13738","-0.00015844","-0.0043454","0.00071697","0.58744","1.0","No","0.8966189473684211","No"
