Coding,Meaning,Country
11012,Barts,England/Wales
11021,Birmingham,England/Wales
11011,Bristol,England/Wales
11008,Bury,England/Wales
11003,Cardiff,England/Wales
11024,Cheadle (revisit),England/Wales
11020,Croydon,England/Wales
11005,Edinburgh,Scotland
11004,Glasgow,Scotland
11018,Hounslow,England/Wales
11010,Leeds,England/Wales
11016,Liverpool,England/Wales
11001,Manchester,England/Wales
11017,Middlesborough,England/Wales
11009,Newcastle,England/Wales
11013,Nottingham,England/Wales
11002,Oxford,England/Wales
11007,Reading,England/Wales
11014,Sheffield,England/Wales
11003,Stockport (pilot),England/Wales
11006,Stoke,England/Wales
11022,Swansea,England/Wales
11023,Wrexham,England/Wales
11025,Cheadle (imaging),England/Wales
11026,Reading (imaging),England/Wales
11027,Newcastle (imaging),England/Wales
11028,Bristol (imaging),England/Wales
